科目,出題回,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
臨床医学各論,27,"「67 歳の女性。胸部エックス線写真で右上肺野の末梢側に 2 cm 大の結節影があり、気管支内視鏡検査で肺癌と診断された。」
最も可能性が高い組織型はどれか。",腺　癌,小細胞癌,大細胞癌,扁平上皮癌,1,
臨床医学各論,27,"「67 歳の女性。胸部エックス線写真で右上肺野の末梢側に 2 cm 大の結節影があり、気管支内視鏡検査で肺癌と診断された。」
遠隔転移を調べる上で必要な検査はどれか。　",呼吸機能,冠動脈造影,脳造影 MRI,心エコー,3,
臨床医学各論,28,"次の文で示す症例の確定診断のために最も重要な検査はどれか。
「25歳の男性。10日前に上気道炎に罹患、3日前から両下肢の粗大筋力が低下、後に両上肢へと進展した。」",頸椎MRI検査,末梢神経伝導速度検査,血中CK値測定,遺伝子検査,2,
臨床医学各論,28,"次の文で示す症例に対する歩行介助で最も適切なのはどれか。
「58歳の男性。2年前から右手の振戦が出現、後に動作が緩慢になってきた。急に狭くなる場所では足が前に出ない。」",静かに見守る。,積極的に会話する。,速いテンポの音楽を流す。,メトロノームでリズムをとる。,4,
臨床医学各論,28,白血病についてウイルスが原因で日本の西南地方に多いのはどれか。,成人T細胞白血病,慢性骨髄性白血病,急性骨髄性白血病,急性リンパ性白血病,1,
臨床医学各論,28,大腿骨頭すべり症で陽性になるのはどれか。,アイヒホッフテスト,ピボットシフトテスト,ドレーマン徴候,ピアノキー徴候,3,
臨床医学各論,28,頸椎間板ヘルニアについて正しいのはどれか。,神経根症では上肢に腱反射の亢進を認める。,神経根症では腹壁反射の消失を認める。,脊髄症では下肢に腱反射の減弱を認める。,脊髄症では下肢に病的反射を認める。,4,
臨床医学各論,28,尿路結石の再発予防に有用なのはどれか。,水分摂取,尿酸排泄促進薬内服,柑橘類摂取,ホウレンソウ摂取,1,
臨床医学各論,28,血液疾患と症状の組合せで正しいのはどれか。,鉄欠乏性貧血　------　末梢神経障害,悪性リンパ腫　-----　舌　炎,急性白血病　-----　出血傾向,再生不良性貧血　-----　リンパ節腫脹,3,
臨床医学各論,28,高血圧と耐糖能異常のいずれも認めないのはどれか。,褐色細胞腫,アジソン病,クッシング症候群,原発性アルドステロン症,2,
臨床医学各論,28,自己免疫機序が関与しないのはどれか。,悪性貧血,溶血性貧血,鉄欠乏性貧血,再生不良性貧血,3,
臨床医学各論,28,"次の文で示す症例の病態で正しいのはどれか。
「85歳の女性。左大腿骨頸部骨折の手術を受けた翌日の夜に、ちぐはぐな言動が出現した。」",せん妄,認知症,うつ病,不安神経症,1,
臨床医学各論,28,続発性脂質異常症の診断に有用でないのはどれか。,肥満度,血尿の有無,HbA1c,甲状腺ホルモン値,2,
臨床医学各論,28,呼吸器感染症について正しいのはどれか。,非結核性抗酸菌は人から人へ感染する。,感冒の原因は主に細菌感染である。,肺結核の治療は抗菌薬の単剤治療である。,肺炎治療で菌の耐性化が問題となっている。,4,
臨床医学各論,28,COPDについて正しいのはどれか。,女性に多い。,拘束性換気障害を呈する。,安静時の呼吸困難が特徴である。,増悪予防にはインフルエンザワクチン接種は有効である。,4,
臨床医学各論,28,帯状庖疹について正しいのはどれか。,抗ウイルス薬が有効である。,発疹は両下肢に好発する。,コプリック斑が出現する。,小児期に発症する。,1,
臨床医学各論,28,潜伏期間が最も長いのはどれか。,流行性耳下腺炎,エイズ,ジフテリア,破傷風,2,
臨床医学各論,28,潰瘍性大腸炎の特徴で正しいのはどれか。,大腸壁の全層に炎症を起こす。,痔瘻合併の頻度が高い。,直腸から口側へ病変が連続する。,回盲部に好発する。,3,
臨床医学各論,28,ウイルス性肝炎と感染経路の組合せで正しいのはどれか。,A　型　----　血液への暴露,B　型　----　性行為,C　型　----　獣肉摂取,E　型　----　生鮮魚介類摂取,2,
臨床医学各論,28,食道癌について正しいのはどれか。,腺癌が多い。,若年者に多い。,女性に多い。,アルコールは危険因子である。,4,
臨床医学各論,28,"「35歳の女性看護師。皮膚の黄染、全身倦怠感にて受診。針刺しの既往がある。肝炎ウイルスマーカーでは、HCV抗体陽性、HCV-RNA陽性で、他は陰性であった。」
本疾患について正しいのはどれか。",生ガキの摂取で起こる。,慢性化の頻度が高い。,劇症肝炎へ進展しやすい。,ワクチン予防が可能である。,2,
臨床医学各論,28,"「35歳の女性看護師。皮膚の黄染、全身倦怠感にて受診。針刺しの既往がある。肝炎ウイルスマーカーでは、HCV抗体陽性、HCV-RNA陽性で、他は陰性であった。」
本疾患に合併する悪性腫瘍で上昇する腫瘍マーカーはどれか。",CA125,SCC,CEA,AFP,4,
臨床医学各論,28,"「83歳の女性。昨夜から左膝痛と38℃の発熱が出現した。左膝関節に熱感、腫脹および膝蓋跳動を認める。関節液の偏光顕微鏡観察で異常を認めた。」
最も可能性の高い疾患はどれか。",化膿性関節炎,関節リウマチ,偽痛風,変形性膝関節症,3,
臨床医学各論,28,"「83歳の女性。昨夜から左膝痛と38℃の発熱が出現した。左膝関節に熱感、腫脹および膝蓋跳動を認める。関節液の偏光顕微鏡観察で異常を認めた。」
本症例に特徴的な単純エックス線所見はどれか。",骨棘形成,関節裂隙狭小化,骨びらん,半月板石灰化,4,
臨床医学各論,28,"「60歳の男性。高血圧にて内服加療中。2日前から38℃の発熱、昨日から嘔吐と頭部全体の痛みがある。意識レベルはJCSでⅠ-1、血圧は178/90mmHgである。」
最も考えられる疾患はどれか。",高血圧性脳症,髄膜炎,群発頭痛,小脳出血,2,
臨床医学各論,28,"「60歳の男性。高血圧にて内服加療中。2日前から38℃の発熱、昨日から嘔吐と頭部全体の痛みがある。意識レベルはJCSでⅠ-1、血圧は178/90mmHgである。」
本症例で確認すべき所見はどれか。",ケルニッヒ徴候,ホルネル徴候,バレー徴候,ロンベルグ徴候,1,
臨床医学各論,29,特発性側弯症について正しいのはどれか。,男性に多い。,前屈姿勢で左右の鎖骨の張り出しの差を診る。,コブ角は脊椎側面エックス線写真で測定する。,早期発見には学校健康診断が重要である。,4,
臨床医学各論,29,受傷直後の足関節捻挫に対するRICE処置について最も適切なのはどれか。,ギプス包帯を行う。,湿布を患部に貼付する。,損傷靱帯部を圧迫する。,患肢は頭より高く上げる。,3,
臨床医学各論,29,デュシェンヌ型筋ジストロフィーについて正しいのはどれか。,女性に多い。,腓腹筋の仮性肥大がみられる。,血清CK値は正常である。,関節拘縮のため踵足になる。,2,
臨床医学各論,29,筋萎縮性側索硬化症に特徴的なのはどれか。,膀胱直腸障害,褥　瘡,嚥下障害,眼球運動障害,3,
臨床医学各論,29,症状の階段状悪化がよくみられるのはどれか。,前頭側頭型認知症,レビー小体型認知症,血管性認知症,アルツハイマー型認知症,3,
臨床医学各論,29,小球性低色素性貧血をきたすのはどれか。,溶血性貧血,鉄欠乏性貧血,再生不良性貧血,巨赤芽球性貧血,2,
臨床医学各論,29,急性膀胱炎について正しいのはどれか。,男性に多い。,排尿後の痛みが多い。,原因菌は黄色ブドウ球菌が多い。,水分はあまり摂らない方がよい。,2,
臨床医学各論,29,腎疾患と所見の組合せで正しいのはどれか。,急性糸球体腎炎　---　低血圧,慢性腎不全　---　高リン血症,急性腎不全　---　代謝性アルカローシス,ネフローゼ症候群　---　低コレステロール血症,2,
臨床医学各論,29,不眠がみられにくいのはどれか。,褐色細胞腫,アジソン病,クッシング症候群,バセドウ病,2,
臨床医学各論,29,失明の原因となるのはどれか。,痛　風,骨形成不全症,糖尿病,脂質異常症,3,
臨床医学各論,29,女性に多く発症するのはどれか。,橋本病,尿崩症,先端巨大症,原発性アルドステロン症,1,
臨床医学各論,29,呼吸器疾患について正しいのはどれか。,自然気胸は胸痛を伴う。,肺線維症は閉塞性換気障害をきたす。,気管支喘息による死亡者数は増加している。,COPDは安静時の呼吸困難が特徴的である。,1,
臨床医学各論,29,中心部の視野欠損や物がゆがんで見える症状が早期から出現する疾患はどれか。,白内障,緑内障,ぶどう膜炎,加齢黄斑変性症,4,
臨床医学各論,29,伝音性難聴をきたすのはどれか。,急性中耳炎,聴神経腫瘍,突発性難聴,メニエール病,1,
臨床医学各論,29,病気でもないのに病気と考えたり、些細な身体の不調を重大な疾患と考え、執拗に訴えるのはどれか。,強迫神経症,心気症,不安神経症,抑うつ神経症,2,
臨床医学各論,29,院内感染と関連が深いのはどれか。,破傷風菌,MRSA,肺炎球菌,ボツリヌス菌,2,
臨床医学各論,29,細菌感染症はどれか。,帯状疱疹,流行性角結膜炎,百日咳,手足口病,3,
臨床医学各論,29,感染症について正しいのはどれか。,風疹は「三日ばしか」と言われる。,日本脳炎はネズミの媒介によって感染する。,水痘は精巣炎を合併しやすい。,流行性耳下腺炎は空気感染する。,1,
臨床医学各論,29,ウイルス性肝炎で生の貝類の摂取により最も感染しやすいのはどれか。,Ａ型,Ｂ型,Ｃ型,Ｅ型,1,
臨床医学各論,29,非代償性肝硬変でみられる血液検査所見はどれか。,総ビリルビン値低下,血小板減少,プロトロンビン時間短縮,アルブミン値上昇,2,
臨床医学各論,29,膵癌のリスクファクターでないのはどれか。,糖尿病,慢性膵炎,喫　煙,高血圧,4,
臨床医学各論,29,"「70 歳の男性。約20年前に2型糖尿病と診断され薬物治療を受けている。最近急に複視が出現した。正中視で右眼は外転位をとっている。対光反射は異常なく眼瞼下垂もない。」
障害されている脳神経はどれか。",視神経,動眼神経,滑車神経,外転神経,2,
臨床医学各論,29,"「70 歳の男性。約20年前に2型糖尿病と診断され薬物治療を受けている。最近急に複視が出現した。正中視で右眼は外転位をとっている。対光反射は異常なく眼瞼下垂もない。」
神経症状発現の病態生理として正しいのはどれか。",浮　腫,虚　血,炎　症,圧　迫,2,
臨床医学各論,29,"「75 歳の男性。脚立から落下し、手足が動かなくなった。非骨傷性脊髄損傷と診断され入院した。肘関節の屈曲は可能、手関節の伸展と屈曲および肘関節の伸展は不能。」
本患者の脊髄節残存高位はどれか。",C5,C6,C7,C8,1,
臨床医学各論,29,"「75 歳の男性。脚立から落下し、手足が動かなくなった。非骨傷性脊髄損傷と診断され入院した。肘関節の屈曲は可能、手関節の伸展と屈曲および肘関節の伸展は不能。」
退院時には屋内歩行が可能となったが、箸がうまく使えなかった。退院の準備として正しいのはどれか。",長下肢装具の作製,意思伝達装置の導入,歩行ロボットの導入,食事に対する自助具の作製,4,
臨床医学各論,29,"「14歳の男子。サッカー部に入部してから3か月が経過した。最近腰部を反らすと腰に痛みが出るようになり来院した。」
予想される診察所見はどれか。",体前屈で腰痛が増強する。,体幹回旋で腰痛が増強する。,SLR テストは陽性となる。,FNS テストは陽性となる。,2,
臨床医学各論,29,"「14歳の男子。サッカー部に入部してから3か月が経過した。最近腰部を反らすと腰に痛みが出るようになり来院した。」
本症例に特徴的な単純エックス線所見はどれか。",椎間板腔の狭小化,腰椎前弯の消失,テリアの首輪,椎体の変形,3,
臨床医学各論,29,"「45 歳の女性。 2か月前から易疲労感、動悸、息切れ、体重減少が出現した。血液検査では、血中ヘモグロビンと平均赤血球容積は低値であった。」
症状発現の基礎疾患となるのはどれか。",心臓弁膜症,子宮筋腫,甲状腺機能亢進症,気管支喘息,2,
臨床医学各論,29,"「45 歳の女性。 2か月前から易疲労感、動悸、息切れ、体重減少が出現した。血液検査では、血中ヘモグロビンと平均赤血球容積は低値であった。」
薬物治療にて症状は改善した。今後食事で特に摂取すべきものはどれか。",赤身の肉類,豆　腐,緑黄色野菜,海　藻,1,
臨床医学各論,30,くる病の治療で適切でないのはどれか。,ビタミンDの投与,運　動,日光浴,副腎皮質ホルモンの投与,4,
臨床医学各論,30,骨化性筋炎の原因はどれか。,脊髄損傷,エストロゲン製剤の服用,意識障害を伴う脳障害,筋挫傷後の無理な可動域訓練,4,
臨床医学各論,30,外傷とその原因の組合せで正しいのはどれか。,手舟状骨骨折　---　手関節掌屈,股関節脱臼　---　車内のダッシュボードへの膝の衝突,上腕骨顆上骨折　---　上肢の急激な牽引,第5中足骨基部列裏骨折　---　足部外がえし,2,
臨床医学各論,30,筋萎縮性側索硬化症によくみられるのはどれか。,感覚障害,眼球運動障害,膀胱直腸障害,筋線維束性れん縮,4,
臨床医学各論,30,パーキンソン病で振戦が最も起こりやすいのはどれか。,字を書くとき,じっとしているとき,何か物を取ろうとするとき,からだの前で手を保持するとき,2,
臨床医学各論,30,高血圧性脳出血が最も好発する部位はどれか。,被　殻,視　床,橋,前頭葉,1,
臨床医学各論,30,汎血球減少症をきたすのはどれか。,鉄欠乏性貧血,腎性貧血,溶血性貧血,再生不良性貧血,4,
臨床医学各論,30,子宮筋腫について正しいのはどれか。,CA125が上昇する。,ヒトパピローマウイルス(HPV）感染が関係する。,不正性器出血をきたしにくい。,エストロゲン依存性疾患である。,4,
臨床医学各論,30,非結核性抗酸菌症につてい正しいのはどれか。,男性に多い。,人から人へ感染する。,難治性である。,肺切除の対象とはならない。,3,
臨床医学各論,30,腎前性腎不全の病因はどれか。,出血性ショック,前立腺癌,後腹膜腫瘍,急性腎炎症候群,1,
臨床医学各論,30,不整脈で予後が最も良いのはどれか。,心室細動,心房細動,上室性期外収縮,Ⅲ度房室ブロック,3,
臨床医学各論,30,我が国における後天性失明の原因で最も多いのはどれか。,加齢黄斑変性病,白内障,網膜剥離,緑内障,4,
臨床医学各論,30,Ⅳ型アレルギーはどれか。,アナフィラキシーショック,アレルギー性結膜炎,アレルギー性接触性皮膚炎,アレルギー性鼻炎,3,
臨床医学各論,30,発達障害で不注意、多動性、衝動性の3つの特徴がみられるのはどれか。,ADHD,PTSD,発達性協調運動障害,自閉スペクタラム症,1,
臨床医学各論,30,感染症と媒介生物の組合せで正しいのはどれか。,発疹チフス　---　ダニ,トキソプラズマ症　---　シラミ,デング熱　---　蚊,日本脳炎　---　ネズミ,3,
臨床医学各論,30,急性膵炎で最も多いのはどれか。,アルコール性膵炎,自己免疫性膵炎,胆石性膵炎,薬剤性膵炎,1,
臨床医学各論,30,予防接種が有効な感染症はどれか。,百日咳,腸チフス,C型肝炎,猩紅熱,1,
臨床医学各論,30,アデノウイルス感染症はどれか。,流行性耳下腺炎,流行生角結膜炎,伝染性単核球症,手足口病,2,
臨床医学各論,30,大腸癌につて正しいのはどれか。,近年減少傾向である。,便潜血検査は死亡率減少に寄与する。,大部分が扁平上皮癌である。,血清CEAが早期診断に役立つ。,2,
臨床医学各論,30,ウイルス性肝炎と感染経路の組合せで正しいのはどれか。,A　型　---　性行為,B　型　---　獣肉摂取,C　型　---　血液への曝露,E　型　---　生鮮魚介類の摂取,3,
臨床医学各論,30,"「65歳の男性。左片麻痺と意識障害を生じた。頭部CT検査において右被殻出血と診断され、保存的治療を受けた。リハビリテーションの評価において視覚の見落としが著名であった。」
本患者の高次機能障害はどれか。",失　行,注意障害,記憶障害,遂行機能障害,2,
臨床医学各論,30,"「65歳の男性。左片麻痺と意識障害を生じた。頭部CT検査において右被殻出血と診断され、保存的治療を受けた。リハビリテーションの評価において視覚の見落としが著名であった。」
適切な対応はどれか。",メモをとるように勧める。,周囲の人が同作を促す。,段差に気をつけるように指導する。,同時に複数の課題をさせない。,3,
臨床医学各論,30,"「70歳の男性。車を停車中に左上肢を伸ばし、後部座席の物を取ったところ、肩峰部に激痛を感じた。肩関節部を他動的に外転させても、自力で外転位を保持できない。」
診察所見で適切なのはどれか。",ドロップアームサイン陽性,ペインフルアークサイン陽性,肩関節内旋筋力低下,肩関節内転筋力低下,1,
臨床医学各論,30,"「70歳の男性。車を停車中に左上肢を伸ばし、後部座席の物を取ったところ、肩峰部に激痛を感じた。肩関節部を他動的に外転させても、自力で外転位を保持できない。」
診断確定のための検査で最も適切なのはどれか。",エックス線検査,CT検査,MRI検査,筋電図検査,3,
臨床医学各論,30,"「55歳の女性。2ヶ月前から背部の鈍痛が続いていたが放置していた。発熱はないが、食欲不振、体重減少、倦怠感がある。」
最も疑われる疾患はどれか。",子宮筋腫,尿路結石,腎盂腎炎,膵臓癌,4,
臨床医学各論,30,"「55歳の女性。2ヶ月前から背部の鈍痛が続いていたが放置していた。発熱はないが、食欲不振、体重減少、倦怠感がある。」
行うべき検査で最も適切なのはどれか。",腹部超音波検査,尿沈渣,血液像(白血球分画),腹部エックス線検査,1,
臨床医学各論,30,"「55歳の男性。強度近視。夕方デスクワーク中、右目で黒く動く小さな糸くず状のものが見えた。」
該当する症状はどれか。",霧　視,複　視,飛蚊症,光視症,3,
臨床医学各論,30,"「55歳の男性。強度近視。夕方デスクワーク中、右目で黒く動く小さな糸くず状のものが見えた。」
次第に症状は悪化し、右眼で下から上へ視野欠損も生じてきた。
考えられる疾患はどれか。",緑内障,白内障,網膜剥離,網膜色素変性症,3,
臨床医学各論,31,急性糸球体腎炎について正しいのはどれか。,予後は良好である。,高齢者に多い。,血清補体価は上昇する。,細菌尿がみられる。,1,
臨床医学各論,31,神経性やせ症（神経性食欲不振症）について正しいのはどれか。,中年に多い。,栄養吸収障害が原因である。,電解質異常は起こしにくい。,心理療法が有効である。,4,
臨床医学各論,31,肘内障について正しいのはどれか。,肘に腫脹はない。,腕尺関節の脱臼である。,徒手整復は困難である。,反復性に移行しやすい。,1,
臨床医学各論,31,細菌感染症はどれか。,デング熱,破傷風,日本脳炎,手足口病,2,
臨床医学各論,31,細菌性腸炎の原因菌と食品の組合せで誤っているのはどれか。,サルモネラ属　-----　ハチミツ,腸炎ビブリオ　-----　生鮮魚介類,ブドウ球菌　-----　にぎりめし,ガンピロバクター　-----　鶏肉,1,
臨床医学各論,31,肺結核について正しいのはどれか。,主な感染経路は飛沫感染である。,抗結核薬は単剤で用いる。,結核と診断したら直ちに届け出る。,医療者はサージカルマスク着用が推奨される。,3,
臨床医学各論,31,COPDについて正しいのはどれか。,肺拡散能（DLCO）は正常である。,労作時の呼吸困難が特徴である。,発作時に気管支狭窄音を伴う。,肺機能検査では拘束性換気障害が特徴である。,2,
臨床医学各論,31,肺癌患者にみられる所見と浸潤部位の組合せで正しいのはどれか。,縮　瞳　----------　上大静脈,顔面浮腫　---------　交感神経,嗄　声　----------　反回神経,腰　痛　----------　横隔神経,3,
臨床医学各論,31,胸膜中皮腫と関連するのはどれか。,塩蔵食品,アスベスト,アセトアルデヒド,ジクロロプロパン,2,
臨床医学各論,31,右心不全によくみられる身体所見はどれか。,肺うっ血,頻呼吸,下肢の浮腫,四肢チアノーゼ,3,
臨床医学各論,31,ネフローゼ症候群の診断基準に含まれるのはどれか。,排尿痛,高LDLコレステロール血症,尿　糖,高蛋白血症,2,
臨床医学各論,31,鉄欠乏性貧血について正しいのはどれか。,葉酸の欠乏が原因となる。,血清フェリチンは増加する。,小球性貧血がみられる。,骨髄は低形成である。,3,
臨床医学各論,31,アルツハイマー病の症状で正しいのはどれか。,まだら認知症,物盗られ妄想,はぐらかし対応,パーキンソン症状,2,
臨床医学各論,31,HbA1ｃが反映する血糖値の期間はどれか。,1～2日間,1～2週間,1～2か月間,1～2年間,3,
臨床医学各論,31,甲状腺機能低下症の症状で正しいのはどれか。,頻　脈,手指振戦,体重増加,発汗過多,3,
臨床医学各論,31,骨粗鬆症患者で最も骨折が起こりにくい部位はどれか。,橈骨遠位部,腰椎椎体,大腿骨近位部,踵骨体部,4,
臨床医学各論,31,中殿筋機能が低下して起こるのはどれか。,アリス徴候,クリック徴候,ドレーマン徴候,トレンデレンブルグ徴候,4,
臨床医学各論,31,成人の気管支喘息について正しいのはどれか。,拘束性換気障害をきたす。,発作は昼間に起こりやすい。,血液検査では好塩基球が増加する。,吸入ステロイド薬が治療の中心である。,4,
臨床医学各論,31,労作性狭心症と急性心筋梗塞で、最も違いが明確なのはどれか。,胸痛の持続時間,呼吸困難の程度,放散痛の部位,症状出現の時刻,1,
臨床医学各論,31,疾患と症状の組合せで正しいのはどれか。,過敏性腸症候群　------　血便,急性胆嚢炎　--------　左季肋部,慢性膵炎　---------　便　秘,肝硬変　----------　女性化乳房,4,
臨床医学各論,31,かぜ症候群について正しいのはどれか。,ほとんどがウイルス感染である。,初期から呼吸音に異常がみられる。,主な感染経路は空気感染である。,抗菌薬を主に用いる。,1,
臨床医学各論,31,"「68歳の女性。右利き。右片麻痺を生じ病院に救急搬送された。MRI検査にて左中大脳動脈領域の脳梗塞と診断され、保存的治療を受けた。」
本患者の症状で最もみられるのはどれか。",失調症,失語症,左半側空間無視,注意障害,2,
臨床医学各論,31,"「68歳の女性。右利き。右片麻痺を生じ病院に救急搬送された。MRI検査にて左中大脳動脈領域の脳梗塞と診断され、保存的治療を受けた。」
重度の片麻痺が続いた場合に行うADL訓練として最も適切なのはどれか。",箸を使った食事動作,両上肢での更衣,両手での洗顔,利き手交換,4,
臨床医学各論,31,"「56歳の男性。数日前から続く右肩甲部や右上腕外側の痛みと、右前腕橈側から右手橈側のしびれを主訴に来院した。」
最も陽性になりやすいのはどれか。",ペインフルアークサイン,スパーリングテスト,トムゼンテスト,ファレンテスト,2,
臨床医学各論,31,"「56歳の男性。数日前から続く右肩甲部や右上腕外側の痛みと、右前腕橈側から右手橈側のしびれを主訴に来院した。」
装具療法を行う場合に最も適切なのはどれか。",頸椎装具,肩関節外転装具,テニス肘バンド,手関節背屈装具,1,
臨床医学各論,31,"「52歳の男性。3週間前から倦怠感と微熱がある。舌炎は認めないが、鼻血や歯茎の出血、皮下出血斑がみられる。」
最も考えられる疾患はどれか。",急性白血病,悪性貧血,溶血性貧血,血友病,1,
臨床医学各論,31,"「52歳の男性。3週間前から倦怠感と微熱がある。舌炎は認めないが、鼻血や歯茎の出血、皮下出血斑がみられる。」
診断に必要な血液検査項目て最も適切なのはどれか。",葉　酸,血液像,第Ⅷ凝固因子,ビリルビン,2,
臨床医学各論,31,"「72歳の女性。頻尿と尿意切迫感を主訴に来院した。尿一般検査と尿細菌検査に異常はなかった。腹部超音波検査で残尿はみられなかった。」
考えられる疾患はどれか。",急性膀胱炎,腎盂腎炎,過活動膀胱,腎結石,3,
臨床医学各論,31,"「72歳の女性。頻尿と尿意切迫感を主訴に来院した。尿一般検査と尿細菌検査に異常はなかった。腹部超音波検査で残尿はみられなかった。」
生活指導について適切なのはどれか。",坐位時間を長くする。,骨盤底筋訓練を行う。,水分摂取を控える。,尿意を感じたらすぐに排尿する。,2,
臨床医学各論,32,介護保険施設でノロウイルス感染症が発生した。感染拡大させないための対応として適切なのはどれか。,感染者の居室は次亜塩素酸ナトリウムで清拭する。,感染者の吐物は乾燥してから処理する。,感染者が使用したリネンは60℃の加熱処理を行う。,感染者が使用した食器はアルコールで消毒する。,1,
臨床医学各論,32,アルツハイマー病で正しいのはどれか。,ラクナ梗塞の多発により発症する。,アミロイドβ蛋白質が蓄積する。,初期には記銘力障害はみられない。,MRI検査では前頭葉の萎縮が特徴である。,2,
臨床医学各論,32,ギランバレー症候群について正しいのはどれか。,中年女性に多い。,遺伝性疾患である。,骨格筋に原因がある。,先行感染を認めることが多い。,4,
臨床医学各論,32,水痘の症状はどれか。,耳下腺の腫脹,両頬部のびまん性紅斑,水疱へと進行する紅斑,解熱前後の斑状丘疹性発疹,3,
臨床医学各論,32,急性骨髄性白血病について正しいのはどれか。,幼若芽球が増殖する。,小児に多くみられる。,細菌感染が関係する。,ミエロペルオキシダーゼ染色は陰性である。,1,
臨床医学各論,32,気管支拡張症について正しいのはどれか。,気道の変化は不可逆性である。,小児喘息の既往をもつことが多い。,喀血をきたすことはない。,治療は抗菌薬を短期投与する。,1,
臨床医学各論,32,肺結核について正しいのはどれか。,空気感染する。,治療薬は単剤を用いる。,感染すると半数が発病する。,"我が国の2021年の新規発症患者数は1,000人以下である。",1,
臨床医学各論,32,鉄欠乏性貧血について正しいのはどれか。,大球性貧血である。,正色素性貧血である。,総鉄結合能は低下する。,鉄剤の投与によって網状赤血球は増加する。,4,
臨床医学各論,32,出血性素因について正しいのはどれか。,一次血栓はフィブリンで構成される。,血液凝固反応にはビタミンCが重要である。,血友病は男性には認められない。,特発性血小板減少性紫斑病は自己免疫疾患である。,4,
臨床医学各論,32,ネフローゼ症候群について正しいのはどれか。,血清コレステロールが低値となる。,低蛋白血症を認める。,尿蛋白は陰性である。,小児では予後不良である。,2,
臨床医学各論,32,ビタミンB1欠乏でみられるのはどれか。,ペラグラ,萎縮性胃炎,巨赤芽球性貧血,多発性末梢神経障害,4,
臨床医学各論,32,AEDによる除細動の適応となる不整脈はどれか。,心室細動,心房細動,心室性期外収縮,上室性期外収縮,1,
臨床医学各論,32,左心不全の身体所見はどれか。,腹　水,下肢の浮腫,肝腫大,起坐呼吸,4,
臨床医学各論,32,急性心筋梗塞で上昇する血液検査項目として最も適切なのはどれか。,γ-GTP,ALP,ALT,AST,4,
臨床医学各論,32,L5神経根障害の所見として誤っているのはどれか。,足背の知覚障害,アキレス腱反射消失,足関節背屈筋力低下,SLRテスト陽性,2,
臨床医学各論,32,原発性悪性骨腫瘍で最も頻度が高いのはどれか。,骨肉腫,軟骨肉腫,ユーイング肉腫,脊索腫,1,
臨床医学各論,32,胃食道逆流症について正しいのはどれか。,るいそう患者に後発する。,近年減少傾向である。,一過性下部食道括約筋弛緩が関与する。,生命予後は不良である。,3,
臨床医学各論,32,ウイルス性肝炎と感染経路の組合せで正しいのはどれか。,A型肝炎　---　感染血液への曝露,B型肝炎　---　分娩時の垂直感染,C型肝炎　---　獣肉の生食,E型肝炎　---　生鮮魚介類の摂取,2,
臨床医学各論,32,膵癌のリスクファクターとして正しいのはどれか。,高血圧症,脂質異常症,高尿酸血症,糖尿病,4,
臨床医学各論,32,パニック障害の症状はどれか。,予期不安,妄想,幻聴,させられ体験,1,
臨床医学各論,32,緑内障について最も適切なのはどれか。,水晶体が混濁する。,細菌感染症である。,失明の原因となる。,中心視野が障害される。,3,
臨床医学各論,32,乳癌について正しいのはどれか。,腫瘤は痛みを伴う。,乳房の外下部の発生が多い。,多くはホルモン依存性である。,乳房全摘出が第一選択である。,3,
臨床医学各論,32,"「3歳の女児。滑り台から落ちて右手をつき、右肘過伸展を強いられ受傷。近医を受診、右肘部変形あり、肘部前面の皮下出血と示指・中指のしびれが認められた。」
最も考えられる診断はどれか。",上腕骨外科頸骨折,上腕骨骨幹部骨折,上腕骨顆上骨折,上腕骨外顆骨折,3,
臨床医学各論,32,"「3歳の女児。滑り台から落ちて右手をつき、右肘過伸展を強いられ受傷。近医を受診、右肘部変形あり、肘部前面の皮下出血と示指・中指のしびれが認められた。」
最も考えられる障害神経はどれか。",腋窩神経,正中神経,筋皮神経,尺骨神経,2,
臨床医学各論,32,"「60歳の女性。数年前から左手の振戦を生じ、次第にすくみ足、寡動を認めるようになり、近医にて診断を受け、投薬が開始された。」
最もよくみられる症候はどれか。",仮面様顔貌,測定障害,眼瞼下垂,痙縮,1,
臨床医学各論,32,"「60歳の女性。数年前から左手の震戦を生じ、次第にすくみ足、寡動を認めるようになり、近医にて診断を受け、投薬が開始された。」
歩行障害に対するリハビリテーションとして最も適切なのはどれか。",歩行速度を上げるように指示する。,メトロノームを用いた訓練を行う。,継ぎ足歩行をさせる。,坂道での訓練を行う。,2,
臨床医学各論,32,"「45歳の男性。長時間の座位により右下肢痛が生じるようになったため整形外科を受診し、腰椎椎間板ヘルニアと診断された。右の片脚立ちでの踵の挙上ができなかった。」
感覚鈍麻が疑われる部位はどれか。",足　底,足背中央,下腿内側,大腿前面,1,
臨床医学各論,32,"「45歳の男性。長時間の座位により右下肢痛が生じるようになったため整形外科を受診し、腰椎椎間板ヘルニアと診断された。右の片脚立ちでの踵の挙上ができなかった。」
早期に手術治療を要する病態はどれか。",尿　閉,下腿後面のしびれ,夜間のこむら返り,アキレス腱反射消失,1,
臨床医学各論,32,"「18歳の男性。背が高く痩せている。突然、右胸の痛みと息切れを感じた。」
最初に行う検査はどれか。",血液生化学検査,呼吸機能検査,胸部単純エックス線検査,胸部単純CT検査,3,
